iso3,country,crop_kcals,crop_fat,crop_protein,crop_kcals_year_1,crop_fat_year_1,crop_protein_year_1,crop_kcals_year_2,crop_fat_year_2,crop_protein_year_2,crop_kcals_year_3,crop_fat_year_3,crop_protein_year_3,crop_kcals_year_4,crop_fat_year_4,crop_protein_year_4,crop_kcals_year_5,crop_fat_year_5,crop_protein_year_5,crop_kcals_year_6,crop_fat_year_6,crop_protein_year_6,crop_kcals_year_7,crop_fat_year_7,crop_protein_year_7,crop_kcals_year_8,crop_fat_year_8,crop_protein_year_8,crop_kcals_year_9,crop_fat_year_9,crop_protein_year_9,crop_kcals_year_10,crop_fat_year_10,crop_protein_year_10
BDI,Burundi,2430073.693399693,76786.292371297,254766.7417593809,2398711.287980663,74992.27352771934,250571.752887028,2368601.9186424464,73378.49549796604,250137.55604645167,2361467.7699451777,73083.90301577831,249972.3825101761,2362703.651049802,73140.52042316228,250180.08701820875,2367012.541004141,73530.60042968606,250594.52650108983,2365995.732954029,73610.9813442375,249996.63168490544,2373178.036631293,74037.93617247246,250459.64135292452,2383757.514174521,74958.90493999734,251503.8107437696,2400245.2538106595,75812.15771066214,252569.4504067416,2414142.48534206,76544.6188638715,253855.82673505665
BEL,Belgium,16298869.49572829,2695337.4625855647,1539533.8854376809,9074407.642955309,1768073.3777992788,559690.1894149772,8397818.206830965,1531249.0451434767,510175.6103828715,8263606.3353773905,1485293.0411925772,499803.84474066674,8304262.384403846,1476278.9856847518,505940.94359808473,8718373.9197168,1533620.5011430865,546669.9145395157,10044008.711226724,1739940.067452289,690911.6653967527,11446845.675988313,1915380.6069039372,879591.5768084365,12168265.08655883,2033022.8195813992,960490.5432437576,12372196.6882685,2216725.6851912457,973743.7633647382,12971688.567086792,2272573.66428519,1066915.7389886691
BEN,Benin,6023816.352353224,772690.7100119777,514781.0217907903,5997215.265933831,760520.8790093462,524121.1387453248,5793688.011710067,661925.4426662077,545677.5564619331,5758621.3973477045,646108.6530778536,549376.1746121375,5740363.78042729,637026.4064248601,549904.4799043263,5749702.237317255,644441.4012001352,545950.0364935298,5824144.6056053,677943.2977465215,544414.9384665122,5824842.588780563,683893.2807434617,535198.8360859687,5893148.457701961,718619.4546619551,526162.690906926,5978737.85648937,755112.3215941786,523867.74100148346,5979265.451877795,757928.2249837863,515784.8734589477
BFA,Burkina Faso,7427988.666181485,839577.0040607287,1009087.3290650976,7322028.347427977,836434.9699021088,990978.0559347618,7374627.2080139965,831001.2316025195,995156.7270134776,7394564.751543678,834203.1080880598,996253.4681569544,7367365.705609725,827106.4214308624,993513.5396789748,7403836.945149796,836095.565291867,997933.1513817656,7301421.845613378,808281.6087846429,989008.066150364,7273699.017490837,801075.4864810873,989186.5252866934,7285304.4775715,806448.9408830364,992283.2683915253,7239675.221922931,803056.4505511217,986828.2126079336,7320187.270640432,824578.2055130665,996501.3150450492
BGD,Bangladesh,67667191.10575126,4727766.800084072,6646059.927170847,59278882.1290142,3871674.204085676,5096693.288706983,53013444.1779163,2546306.7421854986,4704295.231861599,51947184.13751089,2333944.4620814733,4642186.864042566,51975358.40104428,2273051.2065503728,4651565.627749026,52356558.97750516,2384073.223478297,4669652.222310212,53422066.06490979,2614619.6377992574,4760213.332145214,55187163.77340202,2916725.659662566,4978767.62988783,57548027.36892716,3362330.915979798,5233392.319204484,60995653.93541886,3839609.072490978,5661923.159479747,63479146.415458746,4244959.838899083,5988987.621213486
BGR,Bulgaria,4493663.285235688,856656.6102566618,572783.2435914151,10747042.576472836,1530542.5425723542,1263844.0987628978,10705973.864894375,1520011.6764322582,1262776.3512724547,10699195.518645871,1518156.879184968,1262488.9352374189,10710734.8234416,1520636.9193725702,1263499.5334847774,10419166.350689309,1485923.8296619952,1229375.3100995184,8215817.010050813,1219940.6892659443,981977.9732603444,7779269.707727076,1175554.279464734,933218.8088781713,8606351.854861842,1288178.8507550522,1026091.6460711588,6793822.576619471,1098065.4584895214,826954.8760725899,7678717.302592456,1191123.594543337,924237.5840467734
BHR,Bahrain,232312.9815802408,43540.26178942367,19503.21074949804,171816.75056070508,21717.83306597172,17762.07510421634,109811.98925194245,11831.369038117988,11893.186513468809,104674.1562422309,10283.845607653611,11698.671059848342,105517.85908618078,13286.415451827632,10356.251932509947,108878.42288184416,16249.87304708454,9818.173758160385,122953.10423128064,20649.502477968075,10361.388910775462,126801.55731066116,18972.627192351025,11594.092111646396,133934.0600624066,23930.474327564527,10854.783518986358,193023.02924492903,32588.30902224255,17121.801282561093,194222.46208296277,35094.34120222047,16502.514250408043
BHS,Bahamas,25297.074102142265,3631.669092933993,1408.7155712255258,14870.303478487542,770.9394919174605,870.9239532917354,14354.053807885188,764.0151809120163,819.6549680385149,14320.89159557243,753.3912554958055,814.7630905013809,14269.446942513172,823.811872834966,823.6116022861768,14852.315495107465,932.3993877319198,845.3289461018492,15152.376753532762,1038.8032788591536,861.8853853424733,16877.958926603533,1243.1874759376549,916.8388430819708,18830.352748367204,1791.5381523651606,1042.3739800689048,20543.74967553247,2235.7766006079883,1160.9010065592888,22221.58648038832,2795.0947270101137,1263.6339855047934
BIH,Bosnia and Herzegovina,2635092.1319725728,192615.4469025032,315383.937701666,2094658.39714827,146316.72619924182,246497.57638919263,2093270.4903738936,145973.7751930643,246273.9719814424,2093026.7064392,145909.32972880563,246246.4392870427,2094743.486881936,145582.38931826735,246527.31908045948,2109957.5746450503,145737.95222375036,248654.24027294063,2220998.52619813,155457.85129945367,262762.7829259952,2284989.9010746377,159994.49933451836,271194.87508751865,2261420.315932156,157022.17441908084,268443.91792804206,2420454.165988074,175933.6070541007,287622.4046720597,2322055.729011936,167710.17379909873,274857.5031036048
BLR,Belarus,12115713.973934304,965046.3250447924,1617953.5940033605,11864531.949863056,1056535.2897235698,1378690.1812594926,11807400.038018046,1046016.4168421763,1361854.54958417,11795802.23284711,1044012.9460845272,1358231.3569659733,11799089.130355597,1044305.7814751836,1358872.2866552228,11806195.747458614,1045406.8887346704,1359739.6110565718,11907163.341905903,1062083.5111326077,1386766.2755574705,11874490.596709289,1022870.2891144071,1418648.6955223458,11682253.797890032,942955.1930244312,1429080.8750386029,12000039.95286027,1012381.4144119922,1500157.564118925,12401462.37971868,1156492.7871940553,1511292.0985408372
BLZ,Belize,294015.85206876433,8937.939743188605,21386.36537313038,278512.0095044191,7171.382467676418,19581.941547424663,278262.51449244213,7142.049671319206,19550.942586260466,278229.0504341369,7132.403313262141,19547.88346749665,278518.9928382411,7198.553265915983,19570.385715218068,278909.70903443533,7288.814121383519,19601.14569882577,279383.18026223744,7393.338589933269,19638.40691854773,280516.35585762624,7521.262427197498,19771.57178497221,284014.8620586995,7893.381944090025,20185.60125531853,287003.74820015294,8183.05023781392,20549.07848799577,289970.9347856527,8496.844358897624,20904.297703686418
BOL,Bolivia,7807719.123610025,775839.2451258203,1398271.3040759384,7846786.079756569,797564.4825218833,1396965.417779875,8518944.287799846,1109149.5928838945,1395947.662594323,8709438.137549639,1189762.0660732014,1398258.169160606,8638633.110233098,1162083.51416544,1396687.4500061723,8334855.505871417,1035677.368905446,1392367.8719700216,8598332.709059024,1143499.9892466024,1396617.8329028229,8535390.94571856,1110637.573616738,1397979.1557489985,8428119.444913294,1061347.3193293305,1397968.3849823768,8353854.475640514,1017691.2345487725,1401053.503800541,8179045.640974682,931819.671106484,1402897.5013468105
BRA,Brazil,248750123.3879365,24286660.89116555,27571955.643922765,255586271.05941665,24963038.97150221,29399086.131055515,334713363.3047057,33250577.11012863,48907751.22654323,358933522.9485327,35797376.0356746,54749769.70312574,356679398.89455235,35558404.21873633,54221658.77889631,357395234.92826617,35661614.99605923,54332476.16197978,349183841.3053628,34859941.03124473,52331595.59688693,339562323.7141149,33863189.74763999,49903275.481747776,319141696.28427595,31747708.93619578,44899532.82330472,301134818.52516824,29823002.34210088,40415360.6169732,275932961.8203305,27144826.881712027,34193681.25872481
BRB,Barbados,135683.4060523311,13240.201414282,15741.149791751131,73676.31409999187,9281.904385596385,1003.3010250254096,63943.43508424056,9136.904493675956,937.4457348819534,65724.70455244738,9102.558883738822,932.562674302753,56356.66317199655,9298.390768485451,1113.1381900066665,61754.60747951869,9696.288170543274,1346.3142525838978,66783.18041718123,10064.836716361357,1584.5344529836138,98566.23768605712,10524.186260841949,2545.7152172919045,114121.65233322572,12094.908264268784,6092.392255466454,118867.07544076737,13544.84369103765,9071.68067727902,124682.58653973296,14815.819131243528,11882.539020456246
BRN,Brunei Darussalam,46034.59030115478,14057.301467499075,2004.2112981038883,33830.61298858309,10443.185669941537,1266.3081073307762,13995.75683307418,3551.828265183616,636.4222048966624,10960.046624812374,2407.9240052777527,570.0878372848817,11375.29835292522,2503.894137883038,588.8177350679764,13944.864191310831,3482.1810148694985,650.5907938188791,19080.979280361214,5675.99749453888,687.1011571456705,22001.41042549544,6600.616913021951,833.4287541668934,29855.73579050484,9592.868445886525,1011.0134785291148,38325.739019438144,12399.526802351054,1339.5329276854857,42917.65570294319,13481.01950269564,1684.949898639194
BTN,Bhutan,169161.48673894914,14597.572212782468,15382.265740260777,161009.5748686627,13229.08772327106,14679.560410087066,140409.1930224159,7879.011397870492,13614.538694366764,139798.90858646017,7517.113077412297,13641.327982364764,141965.154780358,7748.398617207216,13840.191732438789,144313.07560818523,8262.244258749437,13986.999716198405,145399.67384743318,8381.8703212058,14086.994450360988,147510.2511035334,9143.510577708514,14148.684575624684,155385.08535398342,10563.719724252916,14721.260363502292,166467.18388517658,12850.628325055904,15461.218596142951,171022.68116379034,14394.678418683898,15615.499411515631
BWA,Botswana,584717.764462937,58764.46092996222,54596.35046015852,542387.8269020511,45646.582352344005,52827.93546444573,237698.06310340972,14793.785019148074,25590.080099444374,221743.6523894229,13420.003857187055,24397.32482166064,225546.84777900483,14100.200172079203,24670.82858971052,227334.43645796084,14865.432194771403,24725.018156912935,248949.3657774044,18987.24851293721,25881.122099375258,299811.4965306364,24862.58559477196,30088.94627538227,361866.9013978434,30834.797278987,35717.970712660215,429025.5880042937,39252.99815394955,41263.85982778674,497418.46701179474,45226.01977339989,47623.6305943064
CAF,Central African Republic,965327.2410667384,129064.02165225102,89030.83749867685,958657.9673411596,127509.42107490322,88320.04570595555,954603.2018145312,126294.10602947764,88126.2263527541,954177.489902642,126169.02916435912,88106.53595889261,954480.8806391938,126251.64224662803,88123.66953634396,955144.1183431364,126491.87608706832,88141.77932650382,956411.0566727052,126840.54142406573,88227.69756885238,957850.5311244782,127219.7044972456,88340.33264843727,959634.1996381828,127714.48033639952,88466.22887842756,961385.1914720526,128167.09647798122,88642.89835756502,963427.8477779106,128718.84824550178,88778.75634249918
