iso3,crop_reduction_year_1,crop_reduction_year_2,crop_reduction_year_3,crop_reduction_year_4,crop_reduction_year_5,crop_reduction_year_6,crop_reduction_year_7,crop_reduction_year_8,crop_reduction_year_9,crop_reduction_year_10
HTI,62.77420911843844,58.485462415329785,58.38795775608274,48.60169054642394,91.89048707205008,181.38334628397087,320.6136138275587,367.8752940947169,168.54241274993012,110.722761728697
HND,-10.75747624417071,-67.86054120768614,-91.15636927266594,-85.10348437017332,-81.52309426311778,-57.47474327577443,-24.713102500837067,-1.3655493742247495,38.43113178798802,19.96143676987766
IND,-26.24714700757048,-73.81187957747765,-72.59820592412984,-63.49851532364248,-56.896641667896205,-52.49119533522956,-50.75385763800265,-25.14923154140854,7.267148006594761,12.736364102698449
IDN,-9.535973277247,-65.25917136937287,-74.31507940351021,-81.31961988223988,-76.18594214532584,-64.10755944406458,-52.58513722127644,-33.67781875796564,-20.489516497475112,-12.20450807696546
IRN,-96.85331740957668,-97.29122710329057,-97.25241039754307,-82.1759120983437,-41.87972277587591,-31.820212282367194,-32.67741404743685,-23.998084523655344,-13.93448366027528,-3.04913361797223
IRQ,-98.81587172717371,-68.15066542119783,-68.1487087997024,0.7470739558745592,2.10424873509496,-28.33510821847171,-29.08935665098204,-25.71379950916229,-17.964804940231698,-5.59768694361459
ISR,-90.51511267544431,-81.43672052194103,-81.43672052194103,-68.51920730849852,-68.69364272618186,-28.30994487747354,2.9517644662964893,-5.659183973442071,7.41499161884073,-0.0526258688219195
JAM,45.07125221999999,-17.015378890000004,16.362931770000003,62.5966184061989,62.596618410000005,133.716577008763,208.641332289731,243.3572733393769,192.267372117337,67.8974678284241
JPN,-99.3356812317938,-99.94976296087222,-99.94976296087222,-99.85933629044229,-99.6804083931855,-99.27325669258104,-98.0423948599794,-88.8617278952091,-92.77166959719172,-13.308631825461688
JOR,-96.97386928216557,-90.69577719591204,-90.69577719591204,-78.81708497515898,-66.77625365879548,-47.6970046314308,-6.73294424755087,-20.75870753432806,5.33629379808411,-14.57466072674415
KAZ,-100.0,-100.0,-100.0,-99.94445314678993,-98.74950904296418,-84.59408838503852,-59.85841274131401,-40.22981950558939,-24.951435918151503,-12.83874710979508
KEN,-24.95680140169683,-89.74742621381472,-89.44955558502326,-87.73217349009522,-60.66410992416771,-83.83109596469626,-73.67891494808451,-59.07780739401685,-27.4506983254802,62.24222150315738
KOR,-98.79701259446676,-100.0,-100.0,-100.0,-100.0,-100.0,-99.7112763647823,-93.10537564074563,-72.95615351620536,-9.236902783313733
PRK,-99.97210030165516,-100.0,-100.0,-100.0,-100.0,-100.0,-99.9846287908048,-99.21828221990071,-96.25108755715982,-66.00303974965853
KWT,-73.16302368086605,-61.220269259162094,-61.220269259162094,145.85623939769076,-77.1499521808046,20.05810345738506,-40.76471248497841,-27.713972406372093,7.00656849869471,-18.62765364399543
KGZ,-100.0,-100.0,-100.0,-100.0,-98.84658683955422,-72.37746802348117,-45.567770640377375,-35.86827338570584,-24.18931164635514,-17.678082670910868
LAO,-44.88582934387475,-99.87209393392286,-99.45940577486166,-97.05314364505084,-95.81946314523456,-89.92199986946883,-76.66950487768648,-61.44798486300586,-35.86592330392882,-15.214258875684529
LBN,-88.70846747076705,-74.7521332646351,-74.7521332646351,-47.516956804125165,-73.59590021725083,-21.862797333126863,-11.81753060266718,-19.5824755440642,-4.5162646795590495,-8.29059621603579
LSO,-3.310675209325089,-95.6423226953386,-94.6247049672331,-93.3208649182344,-93.68962347470944,-93.254019837272,-87.45422097029288,-65.52159475965881,-50.376730891229,-18.7788727970279
LBR,-4.293124451972901,-80.9525485655086,-92.49289402578084,-89.36919365113332,-81.21833515108088,-75.73642269246704,-58.619036683844456,-46.75888051340752,-30.51372268414676,-16.396798580993423
LBY,35.8,66.8,66.8,182.0,412.2249256294504,528.092317215736,31.8064305167536,-27.0167794067792,-34.5500331274634,-22.666266786444595
MDG,17.56830532071337,-63.7277981543087,-94.1591856192616,-94.76262033369368,-93.44417051554288,-83.15131698190811,-69.36176959634737,-56.6296306315741,-48.9592498805752,-20.040463652519968
MWI,6.92304912952323,-71.45524471716139,-96.50870860465383,-97.29567041360968,-79.252036798007,-88.50098238663483,-73.13627423970253,-61.01989112051169,-33.35343622096834,-19.5412149115221
MYS,-24.20998301676473,-76.28115934395508,-85.35967027561576,-82.68375266839077,-74.97896987952696,-56.16211467826194,-51.5749313398764,-26.577741175639325,-3.16629126007648,3.38547384312186
MLI,-23.87731462222381,-77.30673828967072,-81.7439109556864,-68.50275840539244,-68.85733026349241,-23.669072015199987,-16.79998209141436,-15.364542887667673,0.8096824674943691,-14.03781674722234
MRT,-3.01449251428084,-74.39260054772923,-48.31433523425514,144.7067320667856,-77.92726127909414,-54.81274593850104,-39.97320734550013,-8.95308504461729,-17.233520794736577,-9.21110589737857
