ISO3,crop_kcals_baseline_domestic_supply,crop_kcals_baseline_domestic_supply_year_1,crop_kcals_baseline_domestic_supply_year_2,crop_kcals_baseline_domestic_supply_year_3,crop_kcals_baseline_domestic_supply_year_4,crop_kcals_baseline_domestic_supply_year_5,crop_kcals_baseline_domestic_supply_year_6,crop_kcals_baseline_domestic_supply_year_7,crop_kcals_baseline_domestic_supply_year_8,crop_kcals_baseline_domestic_supply_year_9,crop_kcals_baseline_domestic_supply_year_10
GBR,24202023.341736186,1410023.7458672938,571539.2892071514,404556.8667844118,403999.75393972464,710127.9672207412,1397337.3941270218,9237506.344168436,11190769.473282117,10792111.65388813,15698771.234608015
GEO,1271690.9398907672,16379.665322535375,5326.535368146531,2458.4307721849354,10959.02447048777,12685.126427835075,167676.44476061754,306585.3991012749,466629.49423313583,672295.1742911575,844287.6681587425
GHA,16841518.816924296,14416722.669272805,4172963.0733118327,3558498.543798599,3323415.912973239,4127641.985458216,6029711.516690483,10088739.971825989,12161794.111919886,14867934.442571048,15494099.9629548
GIN,5693600.545634372,4893330.616129822,980166.5765079692,555210.2916619561,507760.4767951211,705593.070167676,1613748.6704625513,3248623.0056500775,4462306.096080042,4466600.608757623,5171481.023321936
GMB,219514.39653204603,85658.8007306607,673794.3331853136,367272.39731626055,149978.27291149984,92781.98492827555,233682.0076057709,107505.85888933542,101411.64667474217,121857.10947069201,116018.13859590795
GNB,478240.6724189214,514191.57951305486,403516.16288628016,290855.3640819742,119656.741036842,173528.47841894595,244562.05062995467,364453.1216626519,466349.1396789579,648799.3456258934,592039.5356170415
GRC,5193109.714549304,293693.77955920034,566996.9318875691,543004.0573288494,1154316.9611404468,2074860.4326264123,3001213.8765933285,2739987.478604339,2643657.471639684,3625194.2901859866,3311617.3446659213
GTM,7864006.804359765,5015124.753280097,1574115.2327698045,1046417.0423037931,1126079.7540505305,1914278.2085368414,2389380.5247166064,3576262.722326037,5999343.105150371,8768059.913662577,9333528.052630179
GUY,711134.9090306462,822822.5354231885,607073.779506314,158386.7329583441,107864.624000688,210898.43562742788,397597.77634491166,672556.7151736324,824758.6312236129,995076.085414903,1106418.0522230102
HND,3201320.815599506,2004377.5457735755,723415.5957001582,205194.2336690583,349961.68453780183,445611.50038302277,992238.3674583723,1780195.8896690377,2531592.3369726744,3605837.559495689,3387166.984269332
HRV,2379603.964239941,25000.07954183068,16728.4513479604,13919.321554427283,57451.464649078,230141.7993783935,713052.9856954025,1109811.189606087,1145140.0055141326,1363845.7194425003,1001819.4581826709
HTI,1247771.6582138797,1628128.5012974543,1581393.516601917,1579466.4830865473,1483693.2339970903,1917793.8989070556,2813249.7468648553,4226721.889643209,4733660.744111482,2782709.0107011115,2263010.6246235264
HUN,9099729.482329475,27224.57960387325,14168.454366157213,12219.48716976581,13875.979019324144,311805.20555328584,2255186.593654621,3443173.705595327,3261492.8719495274,5023172.785017528,5057013.703698207
IDN,190617789.96411526,165388047.78045297,63512318.28348963,47145643.91938807,34459770.20504564,43784136.21997782,65828507.630553745,87859664.17504558,122610535.7737053,148751683.39218953,165314103.43934494
IND,384440147.48500097,282837918.076592,100226940.91457576,104769995.5208132,139607104.05364695,164952365.23471847,181621190.39344898,188539158.64193925,286398194.3840861,410539426.9556206,431976338.2854104
IRL,3915195.9944373956,410939.58849804685,147831.6197991353,76784.25874436938,83774.82757367652,120406.42738166517,481297.39707094897,1681200.9824003775,1633597.3224890647,2112664.0589703186,2880483.282868923
IRN,27774006.449088145,5047461.841882523,2010282.8028387069,1174671.2949368043,4102412.4194225217,11743233.642854333,14360575.432562536,15394169.6988923,18034239.88697176,21197292.555511087,24373816.206348833
IRQ,9211420.069029894,496221.77354123397,2680622.984396533,2645596.9184875092,8224574.457217735,8469765.479366733,6142402.811886235,6156653.008499814,6475275.53310595,7326800.721533613,8404796.286901066
ISR,4545917.527188649,730913.1139105334,332787.4637191275,219509.68037459184,313587.20394488215,349963.4802923543,976685.2804208329,1582951.8924271842,1814133.2196842674,2854387.3521181084,2859231.190163542
ITA,34385096.62763806,1741637.8723817763,2192315.3028073316,1998272.3392642387,3291989.8811476473,6192840.217801261,11296331.027534803,15821729.674199397,19067904.62531683,20657175.002743054,22445494.5274274
JAM,620650.8318702261,316333.6852203336,179566.67676418182,248658.3225279074,351116.0061904027,357270.1115100549,514217.0347298287,699113.6528418841,868758.3147675435,841758.7542295776,657091.6266604988
JOR,2609729.680710498,636333.731057311,213182.06090062263,154217.89312107908,210663.8647647095,289007.1790726685,560271.1020702844,903189.126454956,982816.2114580548,1699815.599754195,1605359.9335472097
JPN,37195346.96486544,6536876.919959458,2918230.5770173185,2038609.759284006,1955703.2964658355,2084153.427634017,2813266.0006791926,5326848.702719593,10431826.777949264,14474643.53333501,28204498.161166675
KAZ,15389121.093165368,22238.267886658185,8122.090537285146,6202.313897940098,18641.460927607834,207424.2630512506,2333036.6568746134,6049622.480725703,9035907.034436852,11424803.50361311,13276924.636136554
KEN,9542181.359926563,6450226.906220021,968453.4027972955,964455.8430935222,1097475.4190324221,3124036.1140223537,1469131.4118490436,2469855.8217936703,3777603.2822077726,6543280.264434238,13594895.271043848
KGZ,2318688.0126027246,1310.1465296262243,502.46577771380055,323.7061532340801,824.4197126629708,27377.582268829014,605641.3499313603,1199544.0098048593,1432959.3140907285,1721383.923598015,1880171.4465014366
KHM,11593575.269486714,17541390.504579853,385482.88984420605,72680.23264672558,367771.9184017946,705902.3313639831,3958076.911980884,6375176.982831813,14005582.497349948,17999486.99683328,12346524.848350948
KOR,18953431.57112761,6777191.552128987,2487196.8425764814,1794150.6971686967,1622947.4861945994,1751312.9503591086,2381298.373954798,3758895.8962379317,5824829.989381961,9965736.48545048,14957632.629862947
KWT,1229287.1922941466,869953.4595221588,541897.1487449681,518328.06088185863,622476.0480502278,387294.48527421383,531231.9338659478,576700.0753256244,586220.9640457889,962059.2150552246,962924.2028001312
LAO,4720678.474358151,2602249.7253060956,7159.385410821291,26155.2165974725,139606.7475777,197939.2362845297,476802.03648554673,1102177.45507308,1821403.6642749885,3029392.4524844405,4003032.1526465355
LBN,2638204.6028004666,382378.3806897596,210201.13925754343,177744.61875088076,304198.4067798776,227877.04494675985,772077.6878377084,1088397.4088144829,1080131.5211617341,1768441.4379370564,1632419.9679139438
