Reporter Countries,Partner Countries,Element,Item,Unit,Y2021
Argentina,Republic of Korea,Export Quantity,Maize (corn),tonnes,4877562.0
Argentina,Saudi Arabia,Export Quantity,Maize (corn),tonnes,1783101.5
Argentina,Senegal,Export Quantity,Maize (corn),tonnes,96008.9
Argentina,Sierra Leone,Export Quantity,Maize (corn),tonnes,338.0
Argentina,Spain,Export Quantity,Maize (corn),tonnes,45435.62
Argentina,Spain,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,25.0
Argentina,Spain,Export Quantity,"Rice, paddy (rice milled equivalent)",tonnes,31493.0
Argentina,Spain,Import Quantity,Wheat,tonnes,32.0
Argentina,Thailand,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,21.0
Argentina,Thailand,Export Quantity,Wheat,tonnes,132695.0
Argentina,Tunisia,Export Quantity,Maize (corn),tonnes,237302.4
Argentina,Uganda,Export Quantity,Wheat,tonnes,138942.1
Argentina,United Arab Emirates,Export Quantity,Maize (corn),tonnes,397155.09
Argentina,United Kingdom of Great Britain and Northern Ireland,Export Quantity,Maize (corn),tonnes,227290.17
Argentina,United Kingdom of Great Britain and Northern Ireland,Export Quantity,"Rice, paddy (rice milled equivalent)",tonnes,2989.0
Argentina,United Republic of Tanzania,Export Quantity,Maize (corn),tonnes,206.8
Argentina,United Republic of Tanzania,Export Quantity,Wheat,tonnes,66112.0
Argentina,United States of America,Import Quantity,Maize (corn),tonnes,2996.89
Argentina,United States of America,Export Quantity,Maize (corn),tonnes,92923.24
Argentina,United States of America,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,1.0
Argentina,United States of America,Export Quantity,"Rice, paddy (rice milled equivalent)",tonnes,13727.0
Argentina,United States of America,Import Quantity,Wheat,tonnes,49.64
Argentina,Uruguay,Export Quantity,Maize (corn),tonnes,54947.23
Argentina,Uruguay,Export Quantity,Wheat,tonnes,167.92
Argentina,Venezuela (Bolivarian Republic of),Export Quantity,Maize (corn),tonnes,85916.48
Argentina,Viet Nam,Export Quantity,Maize (corn),tonnes,6846121.0
